record_date,CAD,EUR,GBP
2015,1.2857282608695653,0.9056268115942029,
2016,1.3222978142076502,0.8983306010928961,
2017,1.3044465753424657,0.9015835616438356,
2018,1.2925068493150684,0.8414849315068493,
2019,1.333909589041096,0.8896438356164384,0.758
2020,1.3579043715846995,0.8874672131147541,0.7907158469945355
2021,1.2619397260273972,0.8435643835616439,0.7310301369863015
2022,1.2992082191780823,0.9433452054794521,0.7974027397260275
2023,1.3443424657534246,0.929909589041096,0.8107835616438356
2024,1.3511120218579236,0.9151475409836066,0.7787213114754098
2025,1.4129047619047619,0.9118717948717949,0.7658937728937729
